"season","round","fixture","user_team_id","team","coach","team_score","opponent_team_id","opponent_team","opponent_coach","opponent_score","differential","win","draw","loss","position","points","wins","draws","losses","points_for","points_against","pcnt","sim_pos","sim_finals","sim_gfinal","sim_champ","sim_spoon"
2016,15,4,,"Such is Fyfe","Paul",1320,,"Bontback Mountain","Anthony",1659,-339,0,0,1,3,32,8,0,7,23624,23410,100.91,3.73,0.66571,0.34755,0.17898,0.01278
2016,15,1,,"We're Not Gwilty","James",1536,,"Cotch Me If Ya Can","Jordan",702,834,1,0,0,4,28,7,0,8,23213,22628,102.59,5.21,0.33053,0.16538,0.08309,0.05367
2016,15,2,,"Game of Jones","Mark",876,,"Gawn Girl","Simon",1368,-492,0,0,1,5,28,7,0,8,23476,23120,101.54,5.04,0.3737,0.19254,0.09873,0.06193
2016,15,4,,"Bontback Mountain","Anthony",1659,,"Such is Fyfe","Paul",1320,339,1,0,0,6,28,7,0,8,23883,23716,100.7,4.76,0.44117,0.23968,0.13078,0.05251
2016,15,3,,"Brave Hartung","Luke",773,,"Steele Rebuilding","Lester",1411,-638,0,0,1,7,28,7,0,8,23581,23991,98.29,4.97,0.39151,0.20492,0.10787,0.05929
2016,15,1,,"Cotch Me If Ya Can","Jordan",702,,"We're Not Gwilty","James",1536,-834,0,0,1,8,20,5,0,10,21726,23848,91.1,7.61,0.01217,0.00525,0.00241,0.75736
2016,16,3,,"Gawn Girl","Simon",1631,,"Brave Hartung","Luke",1609,22,1,0,0,1,44,11,0,5,24736,24063,102.8,1.61,0.98629,0.45535,0.20642,0
2016,16,4,,"Steele Rebuilding","Lester",1823,,"Such is Fyfe","Paul",1634,189,1,0,0,2,40,10,0,6,25199,24451,103.06,2.22,0.93604,0.46051,0.23137,0
2016,16,2,,"We're Not Gwilty","James",1635,,"Game of Jones","Mark",1601,34,1,0,0,3,32,8,0,8,24848,24229,102.55,4.68,0.44592,0.22087,0.10777,0.00807
2016,16,1,,"Bontback Mountain","Anthony",1658,,"Cotch Me If Ya Can","Jordan",1457,201,1,0,0,4,32,8,0,8,25541,25173,101.46,4.12,0.60228,0.32701,0.17811,0.00515
2016,16,4,,"Such is Fyfe","Paul",1634,,"Steele Rebuilding","Lester",1823,-189,0,0,1,5,32,8,0,8,25258,25233,100.1,4.4,0.53668,0.28037,0.14499,0.01142
2016,16,2,,"Game of Jones","Mark",1601,,"We're Not Gwilty","James",1635,-34,0,0,1,6,28,7,0,9,25077,24755,101.3,5.63,0.23049,0.11823,0.06025,0.06111
2016,16,3,,"Brave Hartung","Luke",1609,,"Gawn Girl","Simon",1631,-22,0,0,1,7,28,7,0,9,25190,25622,98.31,5.52,0.26189,0.13754,0.07103,0.05836
2016,16,1,,"Cotch Me If Ya Can","Jordan",1457,,"Bontback Mountain","Anthony",1658,-201,0,0,1,8,20,5,0,11,23183,25506,90.89,7.81,0.00041,0.00012,6e-05,0.85589
2016,17,2,,"Gawn Girl","Simon",1799,,"Steele Rebuilding","Lester",1533,266,1,0,0,1,48,12,0,5,26535,25596,103.67,1.25,0.99981,0.47386,0.2196,0
2016,17,2,,"Steele Rebuilding","Lester",1533,,"Gawn Girl","Simon",1799,-266,0,0,1,2,40,10,0,7,26732,26250,101.84,2.87,0.87902,0.42014,0.20567,0
2016,17,1,,"Bontback Mountain","Anthony",1740,,"Game of Jones","Mark",1547,193,1,0,0,3,36,9,0,8,27281,26720,102.1,3.5,0.75674,0.40937,0.22216,0
2016,17,3,,"Such is Fyfe","Paul",1633,,"Cotch Me If Ya Can","Jordan",1483,150,1,0,0,4,36,9,0,8,26891,26716,100.66,3.9,0.66848,0.34135,0.17269,1e-05
2016,17,4,,"We're Not Gwilty","James",1509,,"Brave Hartung","Luke",1764,-255,0,0,1,5,32,8,0,9,26357,25993,101.4,5.41,0.23827,0.11578,0.05501,0.00347
2016,17,4,,"Brave Hartung","Luke",1764,,"We're Not Gwilty","James",1509,255,1,0,0,6,32,8,0,9,26954,27131,99.35,4.92,0.36535,0.1926,0.10013,0.00626
2016,17,1,,"Game of Jones","Mark",1547,,"Bontback Mountain","Anthony",1740,-193,0,0,1,7,28,7,0,10,26624,26495,100.49,6.22,0.09233,0.0469,0.02474,0.05271
2016,17,3,,"Cotch Me If Ya Can","Jordan",1483,,"Such is Fyfe","Paul",1633,-150,0,0,1,8,20,5,0,12,24666,27139,90.89,7.93,0,0,0,0.93755
2016,18,3,,"Gawn Girl","Simon",1638,,"Such is Fyfe","Paul",1505,133,1,0,0,1,52,13,0,5,28173,27101,103.96,1.02,1,0.47305,0.21749,0
2016,18,4,,"Steele Rebuilding","Lester",1706,,"We're Not Gwilty","James",1714,-8,0,0,1,2,40,10,0,8,28438,27964,101.7,3.26,0.80833,0.39454,0.19506,0
