"id","feed_id","player_name","first_name","last_name","team","pos","avg","adp"
421,"1001024","N.Reeves","Ned","Reeves","HAW","RUC",67,225
549,"993979","S.Powell-Pepper","Sam","Powell-Pepper","PTA","FWD",67,225.1
700,"1005717","N.Coffield","Nick","Coffield","WBD","DEF",0,225.2
205,"291783","D.Shiel","Dylan","Shiel","ESS","MID",69,225.3
266,"295446","S.Collins","Sam","Collins","GCS","DEF",73,225.4
522,"1009191","M.Bergman","Miles","Bergman","PTA","DEF",66,225.7
616,"1002256","P.Dow","Paddy","Dow","STK","MID",55,225.7
131,"1022915","E.Allan","Edward","Allan","COL","MID",0,225.9
685,"1012210","M.Roberts","Matt","Roberts","SYD","MID",31,227.3
600,"1017114","T.Sonsie","Tyler","Sonsie","RIC","FWD",30,227.3
757,"1023167","B.Hough","Brady","Hough","WCE","DEF",63,227.5
85,"1032650","Z.Zakostelsky","Zane","Zakostelsky","BRL","DEF/RUC",0,227.9
676,"1011936","J.McInerney","Justin","McInerney","SYD","MID",72,228.1
61,"291548","R.Lester","Ryan","Lester","BRL","DEF",73,228.7
247,"992059","S.Switkowski","Sam","Switkowski","FRE","FWD",68,229.1
343,"292511","Z.Tuohy","Zach","Tuohy","GEE","MID",72,229.7
607,"994599","R.Bonner","Riley","Bonner","STK","MID",51,230.2
577,"990827","J.Graham","Jack","Graham","RIC","FWD",66,230.5
756,"1020670","E.Hewett","Elijah","Hewett","WCE","MID/FWD",46,230.9
260,"1008882","C.Ballard","Charlie","Ballard","GCS","DEF",72,231
