"coach","wins","draws","losses","total_points","position","simulation"
"Luke",12,0,9,34694,3,9141
"Mark",10,0,11,36264,4,9141
"Paul",10,0,11,36060,5,9141
"Simon",10,0,11,34387,6,9141
"James",8,0,13,34721,7,9141
"Jordan",7,0,14,33991,8,9141
"Lester",15,0,6,36867,1,9142
"Mark",12,0,9,35504,2,9142
"Paul",11,0,10,36345,3,9142
"Anthony",11,0,10,35245,4,9142
"Luke",11,0,10,35209,5,9142
"James",10,0,11,34780,6,9142
"Jordan",9,0,12,33374,7,9142
"Simon",5,0,16,33179,8,9142
"Paul",14,0,7,37262,1,9143
"Mark",14,0,7,36524,2,9143
"Lester",13,0,8,36514,3,9143
"Anthony",11,0,10,34725,4,9143
"James",10,0,11,34751,5,9143
"Luke",8,0,13,35809,6,9143
"Simon",8,0,13,34075,7,9143
"Jordan",6,0,15,33102,8,9143
"Anthony",13,0,8,35847,1,9144
"Paul",12,0,9,36083,2,9144
"Luke",12,0,9,35471,3,9144
"Lester",11,0,10,35828,4,9144
"Mark",10,0,11,35234,5,9144
"James",10,0,11,35232,6,9144
"Simon",8,0,13,33974,7,9144
"Jordan",8,0,13,33380,8,9144
"Lester",12,0,9,36311,1,9145
"James",12,0,9,34850,2,9145
"Anthony",11,0,10,34899,3,9145
"Luke",11,0,10,34690,4,9145
"Jordan",11,0,10,34537,5,9145
"Paul",10,0,11,36003,6,9145
"Mark",10,0,11,35288,7,9145
"Simon",7,0,14,33006,8,9145
"Lester",16,0,5,36521,1,9146
"Paul",15,0,6,36734,2,9146
"Anthony",14,0,7,35808,3,9146
"Mark",12,0,9,37032,4,9146
"Luke",9,0,12,35023,5,9146
"James",9,0,12,34192,6,9146
"Jordan",5,0,16,33085,7,9146
"Simon",4,0,17,33034,8,9146
"Mark",15,0,6,36287,1,9147
"Lester",12,0,9,36538,2,9147
"Paul",12,0,9,35903,3,9147
"Simon",11,0,10,33831,4,9147
"Anthony",10,0,11,35600,5,9147
"James",10,0,11,35102,6,9147
"Luke",7,0,14,34066,7,9147
"Jordan",7,0,14,33412,8,9147
"Lester",14,0,7,37276,1,9148
"Paul",14,0,7,36888,2,9148
"Mark",14,0,7,36180,3,9148
"Anthony",13,0,8,35534,4,9148
"Luke",10,0,11,35061,5,9148
"James",8,0,13,34957,6,9148
"Simon",7,0,14,34440,7,9148
"Jordan",4,0,17,32412,8,9148
"Lester",15,0,6,36320,1,9149
"Paul",14,0,7,36872,2,9149
"Anthony",14,0,7,35608,3,9149
"Mark",10,0,11,35616,4,9149
"Luke",9,0,12,34345,5,9149
"James",9,0,12,34300,6,9149
"Jordan",8,0,13,32738,7,9149
"Simon",5,0,16,33113,8,9149
"Paul",13,0,8,36534,1,9150
"Lester",13,0,8,35960,2,9150
"Anthony",13,0,8,35900,3,9150
"Luke",11,0,10,34852,4,9150
"Mark",10,0,11,35359,5,9150
"James",10,0,11,34322,6,9150
"Jordan",8,0,13,32743,7,9150
"Simon",6,0,15,33252,8,9150
"Lester",16,0,5,37192,1,9151
"Paul",15,0,6,36706,2,9151
"Luke",12,0,9,34901,3,9151
"Anthony",10,0,11,35374,4,9151
"Mark",10,0,11,35059,5,9151
"James",9,0,12,34749,6,9151
"Jordan",7,0,14,32704,7,9151
"Simon",5,0,16,33519,8,9151
"Paul",14,0,7,36983,1,9152
"Lester",14,0,7,36479,2,9152
"Anthony",13,0,8,35723,3,9152
"Mark",13,0,8,35321,4,9152
"Luke",11,0,10,34955,5,9152
"James",7,0,14,34640,6,9152
"Simon",6,0,15,33175,7,9152
"Jordan",6,0,15,32993,8,9152
"Lester",14,0,7,36638,1,9153
"Anthony",14,0,7,36042,2,9153
"Paul",12,1,8,35838,3,9153
"Luke",11,0,10,35982,4,9153
"James",10,0,11,34606,5,9153
"Simon",9,1,11,33915,6,9153
"Mark",8,0,13,34772,7,9153
"Jordan",5,0,16,32823,8,9153
"Paul",15,0,6,37252,1,9154
"Lester",14,0,7,36488,2,9154
"Luke",14,0,7,35362,3,9154
"Mark",11,0,10,35206,4,9154
"James",10,0,11,34838,5,9154
"Anthony",8,0,13,34549,6,9154
"Simon",7,0,14,33917,7,9154
"Jordan",5,0,16,32517,8,9154
"Mark",16,0,5,36374,1,9155
"Lester",14,0,7,36028,2,9155
"Paul",13,0,8,36414,3,9155
"Anthony",12,0,9,35329,4,9155
"James",11,0,10,34636,5,9155
"Luke",9,0,12,34597,6,9155
"Jordan",6,0,15,32691,7,9155
"Simon",3,0,18,32570,8,9155
"Lester",15,0,6,36545,1,9156
"Mark",13,0,8,35651,2,9156
"Paul",12,0,9,36014,3,9156
"Anthony",12,0,9,34497,4,9156
"James",10,0,11,34657,5,9156
"Luke",9,0,12,34644,6,9156
"Jordan",9,0,12,33404,7,9156
"Simon",4,0,17,32982,8,9156
"Luke",14,0,7,35427,1,9157
"Paul",13,0,8,36835,2,9157
"Lester",12,0,9,36169,3,9157
"Anthony",11,0,10,35095,4,9157
"Mark",10,0,11,35491,5,9157
"Simon",9,0,12,33882,6,9157
"Jordan",8,0,13,32595,7,9157
"James",7,0,14,34904,8,9157
"Lester",13,0,8,36138,1,9158
"Paul",12,0,9,36853,2,9158
"Anthony",12,0,9,35145,3,9158
"Luke",11,1,9,34951,4,9158
"James",11,0,10,34685,5,9158
"Jordan",11,0,10,33454,6,9158
"Mark",7,0,14,35718,7,9158
"Simon",6,1,14,33993,8,9158
"Lester",14,0,7,36458,1,9159
"Mark",14,0,7,35846,2,9159
"Paul",12,0,9,36720,3,9159
"Luke",12,0,9,34842,4,9159
"James",11,0,10,34359,5,9159
"Anthony",10,0,11,35031,6,9159
"Simon",6,0,15,33151,7,9159
"Jordan",5,0,16,32821,8,9159
"Lester",16,0,5,37367,1,9160
"Anthony",15,0,6,35268,2,9160
"Paul",12,0,9,36991,3,9160
"Mark",11,0,10,35061,4,9160
"Luke",10,0,11,34965,5,9160
"James",8,0,13,34496,6,9160
"Simon",6,0,15,33278,7,9160
"Jordan",6,0,15,32890,8,9160
"Paul",16,0,5,37207,1,9161
"Anthony",15,0,6,35890,2,9161
"Lester",14,0,7,36049,3,9161
"Mark",11,0,10,35538,4,9161
"Luke",9,0,12,34431,5,9161
"James",7,0,14,34122,6,9161
"Simon",7,0,14,32833,7,9161
"Jordan",5,0,16,32766,8,9161
"Paul",13,0,8,36372,1,9162
"James",13,0,8,35166,2,9162
"Lester",12,0,9,35950,3,9162
"Mark",10,0,11,36211,4,9162
"Anthony",10,0,11,35370,5,9162
"Luke",9,0,12,34464,6,9162
"Simon",9,0,12,33496,7,9162
"Jordan",8,0,13,33435,8,9162
"Paul",14,0,7,37322,1,9163
"Lester",14,0,7,36672,2,9163
"Mark",12,0,9,36070,3,9163
"Anthony",11,0,10,35003,4,9163
"Luke",10,0,11,35067,5,9163
"Simon",9,0,12,34581,6,9163
"James",7,0,14,34342,7,9163
"Jordan",7,0,14,32984,8,9163
"Lester",15,0,6,36847,1,9164
"Anthony",13,0,8,35315,2,9164
"Paul",12,0,9,36112,3,9164
"Mark",12,0,9,35328,4,9164
"Luke",8,1,12,34218,5,9164
"Jordan",8,0,13,33968,6,9164
"Simon",8,0,13,33553,7,9164
"James",7,1,13,34927,8,9164
"Lester",17,0,4,36849,1,9165
"Paul",14,0,7,36011,2,9165
"Anthony",11,0,10,35002,3,9165
"Mark",10,0,11,35117,4,9165
"James",9,0,12,34693,5,9165
"Luke",9,0,12,34631,6,9165
"Simon",7,0,14,34201,7,9165
"Jordan",7,0,14,33208,8,9165
"Paul",15,0,6,36346,1,9166
"Lester",13,0,8,35446,2,9166
"Mark",11,0,10,35465,3,9166
"Anthony",11,0,10,35427,4,9166
"Luke",11,0,10,35265,5,9166
"Simon",9,0,12,34152,6,9166
"James",9,0,12,33824,7,9166
"Jordan",5,0,16,32716,8,9166
"Paul",16,0,5,37510,1,9167
"Lester",15,0,6,36626,2,9167
"Anthony",13,0,8,35796,3,9167
"Luke",11,0,10,34627,4,9167
"Mark",9,0,12,35470,5,9167
"James",9,0,12,34328,6,9167
"Jordan",6,0,15,32640,7,9167
"Simon",5,0,16,32964,8,9167
"Lester",14,0,7,36905,1,9168
"Paul",14,0,7,36761,2,9168
"Mark",14,0,7,35903,3,9168
"Anthony",12,0,9,35588,4,9168
"James",9,0,12,35094,5,9168
"Luke",7,0,14,34166,6,9168
"Simon",7,0,14,33470,7,9168
"Jordan",7,0,14,33428,8,9168
"Paul",13,0,8,36513,1,9169
"Luke",13,0,8,35048,2,9169
"Lester",12,0,9,35819,3,9169
"Mark",12,0,9,34733,4,9169
"Anthony",11,0,10,34483,5,9169
"James",10,0,11,34589,6,9169
"Simon",7,0,14,32791,7,9169
"Jordan",6,0,15,32652,8,9169
"Lester",16,0,5,36875,1,9170
"Anthony",13,0,8,35047,2,9170
"Mark",12,0,9,35754,3,9170
"Jordan",11,0,10,33057,4,9170
"Paul",10,0,11,36342,5,9170
"Luke",9,0,12,34626,6,9170
"James",7,0,14,34398,7,9170
"Simon",6,0,15,32804,8,9170
"Paul",15,0,6,36558,1,9171
"Lester",15,0,6,36085,2,9171
"Mark",11,0,10,35579,3,9171
"Anthony",11,0,10,35090,4,9171
"Luke",11,0,10,34946,5,9171
"James",8,0,13,33741,6,9171
"Jordan",8,0,13,32964,7,9171
"Simon",5,0,16,32888,8,9171
"Paul",14,0,7,37419,1,9172
"Anthony",14,0,7,35954,2,9172
"Lester",14,0,7,35953,3,9172
"Mark",12,0,9,35624,4,9172
"Luke",9,0,12,35029,5,9172
"Jordan",8,0,13,33265,6,9172
"Simon",7,0,14,33487,7,9172
"James",6,0,15,34610,8,9172
"Lester",15,0,6,36834,1,9173
"Paul",14,0,7,36130,2,9173
"Mark",11,0,10,36378,3,9173
"Luke",11,0,10,35408,4,9173
"James",9,0,12,34254,5,9173
"Jordan",9,0,12,33543,6,9173
"Anthony",8,0,13,34946,7,9173
"Simon",7,0,14,33569,8,9173
"Lester",15,0,6,35607,1,9174
"Paul",13,0,8,36404,2,9174
"Simon",11,0,10,34326,3,9174
"Mark",10,0,11,35695,4,9174
"James",10,0,11,34529,5,9174
"Anthony",9,0,12,35247,6,9174
"Luke",8,0,13,34517,7,9174
"Jordan",8,0,13,32965,8,9174
"Paul",15,0,6,37777,1,9175
"Anthony",15,0,6,36242,2,9175
"Lester",14,0,7,37140,3,9175
"Mark",10,0,11,34796,4,9175
"Luke",9,0,12,35131,5,9175
"James",9,0,12,35054,6,9175
"Simon",7,0,14,33770,7,9175
"Jordan",5,0,16,33140,8,9175
"Paul",14,0,7,36997,1,9176
"Anthony",13,0,8,35003,2,9176
"Luke",12,0,9,35429,3,9176
"James",11,0,10,34770,4,9176
"Lester",10,0,11,35443,5,9176
"Mark",10,0,11,34899,6,9176
"Simon",7,0,14,34139,7,9176
"Jordan",7,0,14,33154,8,9176
"Paul",14,0,7,36038,1,9177
"Anthony",12,0,9,35175,2,9177
"Luke",12,0,9,35121,3,9177
"James",11,0,10,34985,4,9177
"Simon",11,0,10,34516,5,9177
"Lester",10,0,11,35386,6,9177
"Mark",10,0,11,35119,7,9177
"Jordan",4,0,17,32331,8,9177
"Lester",13,0,8,36845,1,9178
"Paul",13,0,8,36449,2,9178
"Anthony",12,0,9,35002,3,9178
"James",11,0,10,35408,4,9178
"Mark",11,0,10,34996,5,9178
"Luke",9,0,12,33786,6,9178
"Simon",8,0,13,33550,7,9178
"Jordan",7,0,14,33155,8,9178
"Paul",14,0,7,36560,1,9179
"Anthony",14,0,7,35990,2,9179
"Luke",12,0,9,34887,3,9179
"Jordan",10,0,11,33582,4,9179
"Mark",9,0,12,35531,5,9179
"Lester",9,0,12,34830,6,9179
"Simon",9,0,12,33683,7,9179
"James",7,0,14,35019,8,9179
"Paul",15,0,6,37269,1,9180
"Lester",15,0,6,37066,2,9180
"Mark",11,0,10,35506,3,9180
"Anthony",10,0,11,35056,4,9180
"Luke",10,0,11,34759,5,9180
"James",9,0,12,34985,6,9180
"Simon",7,0,14,33674,7,9180
"Jordan",7,0,14,32129,8,9180
"Paul",14,0,7,35604,1,9181
"Lester",12,0,9,36377,2,9181
"Mark",12,0,9,34972,3,9181
"James",10,0,11,35049,4,9181
"Luke",10,0,11,34763,5,9181
"Anthony",10,0,11,34565,6,9181
"Jordan",10,0,11,33692,7,9181
"Simon",6,0,15,33386,8,9181
"Lester",15,0,6,35944,1,9182
"Paul",13,0,8,36283,2,9182
"Anthony",11,0,10,36215,3,9182
"Mark",11,0,10,35944,4,9182
"Luke",11,0,10,35432,5,9182
"James",9,0,12,34590,6,9182
"Simon",7,0,14,32973,7,9182
"Jordan",7,0,14,32917,8,9182
"Lester",18,0,3,37166,1,9183
"Mark",12,0,9,36040,2,9183
"Anthony",12,0,9,35369,3,9183
"Paul",11,0,10,36695,4,9183
"James",11,0,10,35374,5,9183
"Luke",8,0,13,34975,6,9183
"Jordan",8,0,13,33319,7,9183
"Simon",4,0,17,33290,8,9183
"Lester",14,0,7,36656,1,9184
"Anthony",14,0,7,36212,2,9184
"Mark",13,0,8,35965,3,9184
"Paul",12,0,9,36430,4,9184
"Luke",10,0,11,34974,5,9184
"Jordan",8,0,13,33581,6,9184
"James",7,0,14,34237,7,9184
"Simon",6,0,15,33338,8,9184
"Lester",15,0,6,36448,1,9185
"Paul",13,0,8,36150,2,9185
"Anthony",12,0,9,35638,3,9185
"Luke",12,0,9,35460,4,9185
"James",10,0,11,34756,5,9185
"Mark",8,0,13,35766,6,9185
"Simon",8,0,13,33839,7,9185
"Jordan",6,0,15,33702,8,9185
"Lester",17,0,4,37444,1,9186
"Paul",14,0,7,37006,2,9186
"Anthony",12,0,9,35617,3,9186
"James",12,0,9,35587,4,9186
"Luke",11,0,10,35158,5,9186
"Mark",6,0,15,35123,6,9186
"Simon",6,0,15,33655,7,9186
"Jordan",6,0,15,32686,8,9186
"Lester",15,0,6,35985,1,9187
"Paul",13,0,8,36845,2,9187
"Anthony",12,0,9,35424,3,9187
"Mark",10,0,11,35609,4,9187
"Luke",10,0,11,34029,5,9187
"James",9,0,12,34335,6,9187
"Simon",9,0,12,33723,7,9187
"Jordan",6,0,15,33043,8,9187
"Lester",17,0,4,36462,1,9188
"Paul",12,0,9,36466,2,9188
"Mark",12,0,9,35480,3,9188
"Anthony",11,0,10,34825,4,9188
"Luke",11,0,10,34328,5,9188
"James",10,0,11,34699,6,9188
"Jordan",8,0,13,33091,7,9188
"Simon",3,0,18,33015,8,9188
"Lester",15,0,6,36607,1,9189
"Mark",13,0,8,35636,2,9189
"Paul",11,0,10,36270,3,9189
"Anthony",11,0,10,34789,4,9189
"Luke",11,0,10,34747,5,9189
"James",10,0,11,35300,6,9189
"Jordan",7,0,14,33422,7,9189
"Simon",6,0,15,33484,8,9189
"Paul",16,0,5,37271,1,9190
"Mark",14,0,7,35925,2,9190
"Lester",11,0,10,36008,3,9190
"Anthony",11,0,10,35304,4,9190
"Jordan",10,0,11,34106,5,9190
"Luke",9,0,12,34294,6,9190
"James",7,0,14,34042,7,9190
"Simon",6,0,15,33160,8,9190
"Lester",14,0,7,36270,1,9191
"Paul",13,0,8,36414,2,9191
"James",13,0,8,34993,3,9191
"Anthony",12,0,9,35204,4,9191
"Luke",12,0,9,34984,5,9191
"Mark",9,0,12,34952,6,9191
"Jordan",6,0,15,32689,7,9191
"Simon",5,0,16,33002,8,9191
"Lester",16,0,5,36839,1,9192
"Paul",15,0,6,37697,2,9192
"Mark",11,0,10,35389,3,9192
"James",10,0,11,34758,4,9192
"Luke",9,0,12,34540,5,9192
"Anthony",9,0,12,34529,6,9192
"Jordan",8,0,13,33689,7,9192
"Simon",6,0,15,33404,8,9192
"Paul",14,0,7,36895,1,9193
"Lester",14,0,7,36363,2,9193
"Mark",11,0,10,35672,3,9193
"James",10,1,10,35192,4,9193
"Anthony",10,1,10,34933,5,9193
"Luke",9,0,12,34473,6,9193
"Jordan",9,0,12,33237,7,9193
"Simon",6,0,15,33899,8,9193
"Lester",13,0,8,36471,1,9194
"Paul",12,0,9,35873,2,9194
"Anthony",12,0,9,35008,3,9194
"Luke",12,0,9,34668,4,9194
"Mark",11,0,10,35818,5,9194
"James",11,0,10,34811,6,9194
"Jordan",7,0,14,32861,7,9194
"Simon",6,0,15,33924,8,9194
"Paul",14,0,7,36749,1,9195
"Lester",14,0,7,36665,2,9195
"James",12,0,9,35245,3,9195
"Anthony",11,0,10,35568,4,9195
"Mark",11,0,10,35314,5,9195
"Luke",10,0,11,34716,6,9195
"Simon",6,0,15,33007,7,9195
"Jordan",6,0,15,32840,8,9195
"Lester",15,0,6,36656,1,9196
"Paul",14,0,7,37243,2,9196
"James",11,0,10,35314,3,9196
"Anthony",10,0,11,34611,4,9196
"Luke",10,0,11,34101,5,9196
"Mark",9,0,12,34911,6,9196
"Jordan",8,0,13,32444,7,9196
"Simon",7,0,14,33097,8,9196
"Lester",15,0,6,36936,1,9197
"Paul",14,0,7,37526,2,9197
"Anthony",13,0,8,34888,3,9197
"Mark",11,0,10,36462,4,9197
"Luke",10,0,11,34249,5,9197
"James",9,0,12,35101,6,9197
"Jordan",7,0,14,32547,7,9197
"Simon",5,0,16,32902,8,9197
"Lester",17,0,4,36505,1,9198
"Anthony",14,0,7,35753,2,9198
"Paul",11,0,10,36687,3,9198
"Luke",10,0,11,34708,4,9198
"Mark",9,0,12,35264,5,9198
"James",8,0,13,34333,6,9198
"Jordan",8,0,13,33276,7,9198
"Simon",7,0,14,33419,8,9198
"Paul",15,0,6,37399,1,9199
"Lester",14,0,7,36544,2,9199
"Mark",13,0,8,37182,3,9199
"Luke",11,0,10,34737,4,9199
"James",10,0,11,34608,5,9199
"Anthony",8,0,13,35197,6,9199
"Jordan",7,0,14,32892,7,9199
"Simon",6,0,15,33119,8,9199
"Paul",14,0,7,36342,1,9200
"Anthony",14,0,7,35450,2,9200
"Lester",13,0,8,36515,3,9200
"Mark",11,0,10,35533,4,9200
"Luke",10,0,11,34461,5,9200
"James",8,0,13,34406,6,9200
"Simon",8,0,13,33440,7,9200
"Jordan",6,0,15,33043,8,9200
"Lester",15,0,6,37058,1,9201
"Paul",12,0,9,36538,2,9201
"Mark",12,0,9,35882,3,9201
"Anthony",12,0,9,35020,4,9201
"Luke",11,0,10,35369,5,9201
"James",10,0,11,34635,6,9201
"Simon",6,0,15,33440,7,9201
"Jordan",6,0,15,32988,8,9201
"Paul",16,0,5,36997,1,9202
"Lester",14,0,7,36625,2,9202
"Mark",12,0,9,35312,3,9202
"Anthony",11,0,10,34798,4,9202
"Luke",10,0,11,35549,5,9202
"James",9,0,12,34874,6,9202
"Simon",6,0,15,33710,7,9202
"Jordan",6,0,15,33398,8,9202
"Paul",15,0,6,37550,1,9203
"Lester",14,0,7,36192,2,9203
"Anthony",12,0,9,34645,3,9203
"Mark",10,0,11,35984,4,9203
"Luke",10,0,11,34695,5,9203
"James",9,0,12,34347,6,9203
"Simon",7,0,14,33486,7,9203
"Jordan",7,0,14,33240,8,9203
"Lester",16,0,5,36226,1,9204
"Luke",12,0,9,34937,2,9204
"Paul",11,0,10,36726,3,9204
"Anthony",11,0,10,34487,4,9204
"James",10,0,11,35242,5,9204
"Mark",9,0,12,35260,6,9204
"Simon",8,0,13,33962,7,9204
"Jordan",7,0,14,32913,8,9204
"Paul",15,1,5,37511,1,9205
"Lester",13,0,8,36255,2,9205
"Anthony",13,0,8,35439,3,9205
"Mark",12,1,8,35829,4,9205
"Luke",11,0,10,35007,5,9205
"James",7,0,14,34704,6,9205
"Simon",6,0,15,33537,7,9205
"Jordan",6,0,15,33286,8,9205
"Lester",16,0,5,36244,1,9206
"Paul",13,0,8,36782,2,9206
"Anthony",13,0,8,35792,3,9206
"Mark",12,0,9,35475,4,9206
"Luke",11,0,10,34450,5,9206
"Jordan",9,0,12,33194,6,9206
"James",6,0,15,33848,7,9206
"Simon",4,0,17,33537,8,9206
"Lester",16,0,5,36240,1,9207
"Paul",13,0,8,37373,2,9207
"Anthony",12,0,9,35497,3,9207
"Luke",10,0,11,34495,4,9207
"James",9,1,11,34663,5,9207
"Mark",8,1,12,35144,6,9207
"Simon",8,0,13,33213,7,9207
"Jordan",7,0,14,32291,8,9207
"Paul",13,0,8,35947,1,9208
"Anthony",13,0,8,35214,2,9208
"James",11,0,10,33936,3,9208
"Jordan",11,0,10,33630,4,9208
"Mark",9,1,11,35020,5,9208
"Lester",9,0,12,35010,6,9208
"Simon",9,0,12,33583,7,9208
"Luke",8,1,12,34800,8,9208
"Paul",15,0,6,36740,1,9209
"Lester",13,0,8,35822,2,9209
"Mark",11,0,10,35194,3,9209
"James",11,0,10,34905,4,9209
"Anthony",10,0,11,34700,5,9209
"Luke",10,0,11,34514,6,9209
"Simon",7,0,14,33044,7,9209
"Jordan",7,0,14,32452,8,9209
"Lester",15,0,6,36370,1,9210
"Paul",13,0,8,36618,2,9210
"Anthony",13,0,8,35012,3,9210
"Luke",11,0,10,34475,4,9210
"Mark",8,0,13,35113,5,9210
"James",8,0,13,34686,6,9210
"Simon",8,0,13,33541,7,9210
"Jordan",8,0,13,33073,8,9210
"Lester",16,0,5,36689,1,9211
"Paul",14,0,7,36213,2,9211
"Mark",14,0,7,36115,3,9211
"Anthony",11,0,10,34449,4,9211
"Luke",10,0,11,35078,5,9211
"James",9,0,12,34836,6,9211
"Jordan",6,0,15,33312,7,9211
"Simon",4,0,17,33666,8,9211
"Lester",15,0,6,36596,1,9212
"Paul",15,0,6,36527,2,9212
"Luke",12,0,9,34831,3,9212
"Anthony",10,0,11,34770,4,9212
"Mark",9,0,12,35667,5,9212
"James",9,0,12,34732,6,9212
"Simon",7,0,14,33810,7,9212
"Jordan",7,0,14,33121,8,9212
"Paul",15,0,6,37673,1,9213
"Lester",12,0,9,36090,2,9213
"James",12,0,9,35078,3,9213
"Anthony",10,0,11,35659,4,9213
"Mark",10,0,11,35281,5,9213
"Luke",10,0,11,34659,6,9213
"Jordan",9,0,12,33337,7,9213
"Simon",6,0,15,33823,8,9213
"Paul",14,0,7,37100,1,9214
"Lester",13,0,8,36424,2,9214
"Anthony",12,0,9,35680,3,9214
"James",12,0,9,35410,4,9214
"Mark",9,0,12,35076,5,9214
"Jordan",9,0,12,34354,6,9214
"Luke",8,0,13,34218,7,9214
"Simon",7,0,14,33733,8,9214
"Lester",14,0,7,37007,1,9215
"Mark",13,0,8,36988,2,9215
"Paul",13,0,8,36555,3,9215
"Anthony",13,0,8,35574,4,9215
"Luke",10,0,11,35159,5,9215
"James",8,0,13,34549,6,9215
"Jordan",8,0,13,33290,7,9215
"Simon",5,0,16,33294,8,9215
"Paul",16,0,5,36725,1,9216
"Lester",16,0,5,36716,2,9216
"Mark",11,0,10,34517,3,9216
"Anthony",9,0,12,34438,4,9216
"Luke",8,0,13,34827,5,9216
"James",8,0,13,34671,6,9216
"Simon",8,0,13,33969,7,9216
"Jordan",8,0,13,33188,8,9216
"Lester",14,0,7,35688,1,9217
"Paul",13,0,8,35943,2,9217
"Luke",12,0,9,34626,3,9217
"Anthony",11,0,10,35145,4,9217
"Mark",10,0,11,35289,5,9217
"James",8,0,13,34615,6,9217
"Simon",8,0,13,33548,7,9217
"Jordan",8,0,13,33233,8,9217
"Paul",16,0,5,37319,1,9218
"Lester",15,0,6,36944,2,9218
"Mark",12,0,9,35477,3,9218
"Anthony",11,0,10,34772,4,9218
"Luke",9,0,12,34147,5,9218
"James",7,0,14,34276,6,9218
"Simon",7,0,14,33694,7,9218
"Jordan",7,0,14,33211,8,9218
"Paul",13,0,8,36255,1,9219
"Mark",13,0,8,35302,2,9219
"Lester",12,0,9,36407,3,9219
"Anthony",11,0,10,34653,4,9219
"James",11,0,10,34614,5,9219
"Luke",10,0,11,34412,6,9219
"Jordan",8,0,13,33358,7,9219
"Simon",6,0,15,33908,8,9219
"Anthony",15,0,6,35258,1,9220
"Mark",14,0,7,36159,2,9220
"Lester",14,0,7,36061,3,9220
"Paul",11,0,10,36077,4,9220
"James",10,0,11,35173,5,9220
"Luke",7,0,14,34208,6,9220
"Simon",7,0,14,33520,7,9220
"Jordan",6,0,15,32635,8,9220
"Lester",16,0,5,37337,1,9221
"Paul",12,0,9,36254,2,9221
"Anthony",12,0,9,35510,3,9221
"Mark",12,0,9,35340,4,9221
"Simon",10,0,11,34253,5,9221
"James",8,0,13,34401,6,9221
"Luke",8,0,13,34096,7,9221
"Jordan",6,0,15,32795,8,9221
"Lester",15,0,6,36780,1,9222
"Paul",14,0,7,36221,2,9222
"Mark",14,0,7,36151,3,9222
"Luke",11,0,10,34858,4,9222
"Anthony",11,0,10,34379,5,9222
"Simon",7,0,14,33784,6,9222
"James",6,0,15,34720,7,9222
"Jordan",6,0,15,33496,8,9222
"Paul",14,0,7,37288,1,9223
"Lester",12,0,9,36533,2,9223
"Mark",12,0,9,36327,3,9223
"Anthony",12,0,9,35130,4,9223
"Luke",12,0,9,35094,5,9223
"James",9,0,12,34964,6,9223
"Simon",8,0,13,33548,7,9223
"Jordan",5,0,16,32847,8,9223
"Lester",14,0,7,36456,1,9224
"Anthony",14,0,7,35229,2,9224
"Luke",12,0,9,34805,3,9224
"Paul",11,0,10,35737,4,9224
"James",10,0,11,34212,5,9224
"Mark",9,0,12,35014,6,9224
"Simon",7,0,14,32895,7,9224
"Jordan",7,0,14,32485,8,9224
"Lester",15,0,6,36758,1,9225
"Paul",15,0,6,36736,2,9225
"Mark",13,0,8,36231,3,9225
"Anthony",11,0,10,34848,4,9225
"Jordan",10,0,11,33842,5,9225
"Luke",9,0,12,35156,6,9225
"James",6,0,15,33905,7,9225
"Simon",5,0,16,33139,8,9225
"Lester",17,0,4,36531,1,9226
"Paul",16,0,5,37855,2,9226
"Mark",13,0,8,35717,3,9226
"Anthony",9,0,12,35044,4,9226
"Luke",8,0,13,34335,5,9226
"Jordan",8,0,13,33328,6,9226
"Simon",7,0,14,33690,7,9226
"James",6,0,15,34186,8,9226
"Lester",14,0,7,37015,1,9227
"Anthony",14,0,7,35944,2,9227
"Paul",13,0,8,35960,3,9227
"Luke",11,0,10,34943,4,9227
"Mark",10,0,11,34931,5,9227
"James",9,0,12,34739,6,9227
"Jordan",7,0,14,32938,7,9227
"Simon",6,0,15,33436,8,9227
"Anthony",15,0,6,35875,1,9228
"Lester",13,0,8,36169,2,9228
"Paul",11,0,10,36055,3,9228
"Mark",11,0,10,34923,4,9228
"Luke",10,0,11,35269,5,9228
"James",8,0,13,34416,6,9228
"Jordan",8,0,13,33540,7,9228
"Simon",8,0,13,33475,8,9228
"Paul",16,0,5,38227,1,9229
"Lester",13,0,8,35891,2,9229
"Mark",11,0,10,35802,3,9229
"Anthony",10,0,11,35619,4,9229
"Luke",10,0,11,34997,5,9229
"Jordan",10,0,11,33813,6,9229
"James",8,0,13,34423,7,9229
"Simon",6,0,15,33645,8,9229
"Anthony",14,0,7,35599,1,9230
"Lester",13,0,8,35855,2,9230
"James",13,0,8,35141,3,9230
"Mark",11,0,10,35679,4,9230
"Paul",10,0,11,36398,5,9230
"Luke",9,0,12,35242,6,9230
"Simon",8,0,13,33376,7,9230
"Jordan",6,0,15,33375,8,9230
"Lester",16,0,5,37457,1,9231
"Anthony",13,0,8,36073,2,9231
"Paul",12,0,9,36382,3,9231
"Mark",11,0,10,35516,4,9231
"Luke",11,0,10,35218,5,9231
"Jordan",8,0,13,33611,6,9231
"Simon",7,0,14,33492,7,9231
"James",6,0,15,34379,8,9231
"Paul",15,0,6,36356,1,9232
"Anthony",14,0,7,35506,2,9232
"Lester",13,0,8,35903,3,9232
"Mark",12,0,9,35535,4,9232
"James",9,0,12,35065,5,9232
"Simon",8,0,13,33769,6,9232
"Jordan",7,0,14,33707,7,9232
"Luke",6,0,15,34373,8,9232
"Lester",15,0,6,35974,1,9233
