"coach","wins","draws","losses","total_points","position","simulation"
"Luke",11,0,10,34640,3,94
"Anthony",10,0,11,35292,4,94
"Mark",9,0,12,34930,5,94
"James",9,0,12,34508,6,94
"Jordan",9,0,12,33120,7,94
"Simon",6,0,15,32489,8,94
"Lester",15,0,6,36987,1,95
"Paul",14,0,7,36833,2,95
"Anthony",14,0,7,36033,3,95
"Mark",11,0,10,35080,4,95
"Luke",11,0,10,34351,5,95
"James",9,0,12,33776,6,95
"Jordan",6,0,15,33510,7,95
"Simon",4,0,17,32928,8,95
"Paul",14,0,7,36931,1,96
"Lester",14,0,7,36164,2,96
"Anthony",11,0,10,35307,3,96
"Luke",11,0,10,34720,4,96
"James",11,0,10,34175,5,96
"Mark",10,0,11,35621,6,96
"Jordan",9,0,12,33220,7,96
"Simon",4,0,17,32849,8,96
"Paul",15,0,6,36430,1,97
