,Pos,Pos2,Add/Remove,Player,Club,DPP,Relative Value,vs. Next Pick,Rank,Projected,Av.2023,ADP,Notes,StdDev.2023,Games.2023,Age,ID,ID_AFLFAN,ID_CD,Undo.Remove,Undo.Add
144,Def,,,Mitch Hinge,ADE,No,4.3,-23.7,,80,75.7,140,Def Punt: 90 is second half of 2023. Appears to be main distributor.,24.8,22,25,12727,1004863,CD_I1004863,,
145,Mid,,,Brandon Ellis,GCS,No,-3.7,-31.3,,68,75.6,160,,21.3,16,30,12034,293713,CD_I293713,,
146,Fwd,,,Gryan Miers,GEE,No,11,-16.3,,77,75.5,150,,23.8,23,24,12689,1004938,CD_I1004938,,
147,Mid,,,Jaeger O'Meara,FRE,No,-3.9,-31.5,,75,75.4,170,,23.5,21,29,12141,294613,CD_I294613,,
148,Def,,,Luke McDonald,NTH,No,3.8,-24.2,,75,75.2,158,Def Punt/Interrupted pre-season (Moderate): Could be a main ball getter off half back/rehab group mid Jan,21.9,22,28,12246,296355,CD_I296355,,
149,Fwd,Mid,,Jye Caldwell,ESS,Yes,10.6,-16.7,,72,75.1,122,,17.5,21,23,12755,1006103,CD_I1006103,,
150,Ruck,,,Brodie Grundy,SYD,No,-7.7,-27.3,,99,75,52,Trade: Sydney - Sole ruck role again.,23.3,17,29,12217,293957,CD_I293957,,
151,Mid,,,Josh Ward,HAW,No,-4.4,-32,,80,74.9,191,Role: Likely to pick up some midfield time with Day out.,18.2,16,20,12955,1017110,CD_I1017110,,
152,Def,,,Rory Atkins,GCS,No,3.3,-24.7,,74,74.7,218,,25.7,17,29,12381,294472,CD_I294472,,
153,Mid,,,Matthew Kennedy,CAR,No,-4.7,-32.3,,80,74.6,154,Role: Role and selection is variable. Mid-field opportunity through injury.,18.4,14,26,12455,1001398,CD_I1001398,,
154,Def,,,Brayden Maynard,COL,No,3.2,-24.8,,74,74.6,173,"Interrupted pre-season (Moderate): Will only return to training in new year, shoulder reco",19.8,22,27,12371,992010,CD_I992010,,
155,Fwd,Mid,,Bradley Hill,STK,Yes,10,-17.3,,71,74.5,124,,21.7,21,30,12060,295584,CD_I295584,,
156,Mid,,,Rory Sloane,ADE,No,-4.8,-32.4,,70,74.5,213,,18.5,22,33,11792,270963,CD_I270963,,
157,Fwd,,,Izak Rankine,ADE,No,9.7,-17.6,,78,74.2,146,,21.6,20,23,12798,1001195,CD_I1001195,,
158,Mid,,,George Hewett,CAR,No,-5.2,-32.8,,81,74.1,145,,30.3,19,27,12411,294036,CD_I294036,,
159,Fwd,,,Ben Ainsworth,GCS,No,9.6,-17.7,,72,74.1,127,,19.9,21,25,12498,998130,CD_I998130,,
160,Fwd,,,Jake Waterman,WCE,No,9.6,-17.7,,63,74.1,224,Missed second half of 2023 with illness,24.5,11,25,12601,996554,CD_I996554,,
161,Fwd,,,Mitch Owens,STK,No,9.4,-17.9,,77,73.9,129,,19.7,22,20,12948,1023272,CD_I1023272,,
162,Def,,,Adam Saad,CAR,No,2.5,-25.5,,74,73.9,157,,16.8,22,29,12330,295461,CD_I295461,,
163,Ruck,,,Matt Flynn,WCE,No,-8.8,-28.4,,79,73.9,159,,17.5,9,26,12870,993902,CD_I993902,,
164,Mid,,,Jarrod Berry,BRL,No,-5.5,-33.1,,74,73.8,175,,22.6,22,25,12519,998133,CD_I998133,,
165,Fwd,,,Jesse Hogan,GWS,No,9.3,-18,,73,73.8,152,,35,20,28,12321,296324,CD_I296324,,
166,Fwd,,,Jade Gresham,ESS,No,9.1,-18.2,,79,73.6,120,"Role: Primarily fwd, but doesn't need midtime to score.",22,22,26,12415,298421,CD_I298421,,
167,Def,,,Jason Johannisen,WBD,No,2.1,-25.9,,81,73.5,248,,22.2,11,31,12122,294101,CD_I294101,,
168,Def,,,Connor Budarick,GCS,No,2.1,-25.9,,74,73.5,190,Def Punt: Flagged for half back role. Watch role in pre-season,13.4,2,22,12769,1008454,CD_I1008454,,
169,Mid,,,James Aish,FRE,No,-5.9,-33.5,,75,73.4,185,,17.3,20,28,12250,295067,CD_I295067,,
170,Ruck,,,Todd Goldstein,ESS,No,-9.4,-29,,63,73.3,204,,25.1,20,35,11686,271129,CD_I271129,,
171,Fwd,,,Kyle Langford,ESS,No,8.5,-18.8,,75,73,184,,19.1,23,27,12349,298630,CD_I298630,,
172,Def,,,Corey Wagner,FRE,No,1.4,-26.6,,73,72.8,215,,19.7,9,26,12453,993940,CD_I993940,,
173,Fwd,,,Alex Neal-Bullen,MEL,No,8.3,-19,,66,72.8,199,,14.4,23,27,12367,296420,CD_I296420,,
174,Fwd,,,Jeremy Finlayson,PTA,No,8.1,-19.2,,64,72.6,196,,24.7,20,27,12553,298111,CD_I298111,,
175,Mid,,,Ed Langdon,MEL,No,-6.9,-34.5,,77,72.4,252,,18.9,23,27,12393,298264,CD_I298264,,
176,Fwd,Mid,,Zac Bailey,BRL,Yes,7.9,-19.4,,71,72.4,143,,18.1,21,24,12610,1002312,CD_I1002312,,
177,Mid,,,David Swallow,GCS,No,-6.9,-34.5,,67,72.4,207,,22.2,23,31,11919,290832,CD_I290832,,
