"id","feed_id","first_name","last_name","team","pos","avg","adp","rank"
468,"999391","Tom","Sparrow","MEL","MID",67.14,251.375,342
107,"1012862","Elijah","Hollands","CAR","MID",49.44,251.917,343
602,"1031829","James","Trezise","RIC","DEF",93,253,344
636,"293846","Sebastian","Ross","STK","MID",68.31,254.564,345
311,"1017063","Toby","Conway","GEE","RUC",46,254.828,346
226,"1020250","Neil","Erasmus","FRE","MID",42.64,255.684,347
335,"1007102","Mark","O'Connor","GEE","DEF/MID",66.73,256.103,348
665,"997100","Will","Hayward","SYD","FWD",66.86,258.151,349
231,"1016825","Matthew","Johnson","FRE","MID",54,259.026,350
479,"1000061","Callum","Coleman-Jones","NTH","FWD",44.78,259.308,351
543,"1004998","Todd","Marshall","PTA","FWD",66.05,260.209,352
460,"1008893","Harrison","Petty","MEL","DEF/FWD",60.64,261.387,353
481,"294508","Aidan","Corr","NTH","DEF",69.42,261.461,354
523,"250365","Travis","Boak","PTA","MID",65.63,263.361,355
310,"999326","Brad","Close","GEE","FWD",66.67,264.139,356
561,"1004034","Brandon","Zerk-Thatcher","PTA","DEF",67.14,265,357
158,"291849","Brody","Mihocek","COL","FWD",65.38,265.25,358
171,"1011954","Nick","Bryan","ESS","RUC",66.38,266.222,359
641,"1008312","Liam","Stocker","STK","DEF",67.64,268.433,360
507,"1011659","Tom","Powell","NTH","FWD",55.86,269.7,361
659,"291848","Robbie","Fox","SYD","DEF",67.16,269.808,362
324,"1012860","Oliver","Henry","GEE","FWD",59.55,270.52,363
55,"1023708","Jaspa","Fletcher","BRL","MID",51.55,271.483,364
108,"1023495","Oliver","Hollands","CAR","MID",57.76,272.722,365
278,"1005992","Joel","Jeffrey","GCS","DEF/FWD",58.86,274.375,366
34,"1006136","Lachlan","Sholl","ADE","MID",67.44,274.548,367
675,"1013230","Logan","McDonald","SYD","FWD",59,275,368
559,"1009195","Dylan","Williams","PTA","DEF",66.65,276.586,369
625,"993480","Dougal","Howard","STK","DEF",67.39,276.6,370
622,"1002227","Jack","Higgins","STK","FWD",66.71,277.333,371
1,"1012807","Sam","Berry","ADE","MID",50.75,277.684,372
733,"1011803","Cody","Weightman","WBD","FWD",64,279.5,373
413,"1000980","Lloyd","Meek","HAW","RUC",63.94,279.622,374
95,"1008154","Matthew","Cottrell","CAR","MID/FWD",60,280.516,375
272,"993799","Brayden","Fiorini","GCS","MID",64.65,281.207,376
313,"1009229","Sam","De Koning","GEE","DEF",61.47,282.167,377
500,"997933","Griffin","Logue","NTH","DEF",66.53,282.36,378
113,"296190","Jack","Martin","CAR","FWD",59.55,282.75,379
195,"1002143","Ben","McKay","ESS","DEF",63.21,283.034,380
597,"1012386","Samson","Ryan","RIC","RUC/FWD",54.21,284.889,381
349,"1008139","Toby","Bedford","GWS","FWD",59.94,285.913,382
323,"1000937","Jack","Henry","GEE","DEF",66.27,287.423,383
276,"297456","Nick","Holman","GCS","FWD",66.05,288.222,384
396,"1005144","Massimo","D'Ambrosio","HAW","DEF",40.25,291.25,385
684,"290188","Sam","Reid","SYD","FWD",0,291.333,386
280,"1006144","Ben","King","GCS","FWD",56.6,291.889,387
77,"1009385","Deven","Robertson","BRL","MID/FWD",45.38,292.6,388
395,"994077","Mabior","Chol","HAW","FWD",48.88,292.769,389
414,"1018016","Seamus","Mitchell","HAW","DEF",62.29,294.818,390
416,"1000963","Harry","Morrison","HAW","MID",66.38,294.833,391
516,"993816","Darcy","Tucker","NTH","MID",62,297.636,392
404,"1023680","Henry","Hustwaite","HAW","MID",66,299.273,393
551,"296225","Willie","Rioli","PTA","FWD",65.82,300.267,394
2,"1023534","Hugh","Bond","ADE","DEF",0,301.091,395
380,"992644","Braydon","Preuss","GWS","RUC",0,301.625,396
337,"298419","Brandan","Parfitt","GEE","MID",53,301.696,397
130,"997316","Lewis","Young","CAR","DEF",66.13,303.476,398
227,"999321","Michael","Frederick","FRE","FWD",60.42,304.039,399
550,"1002220","Esava","Ratugolea","PTA","DEF",55.81,306.421,400
338,"291357","Gary","Rohan","GEE","FWD",61.4,306.478,401
489,"1012833","Eddie","Ford","NTH","FWD",63.14,309.385,402
22,"1015370","Max","Michalanney","ADE","DEF",56.14,309.526,403
393,"280744","Luke","Breust","HAW","FWD",60.86,309.56,404
439,"1005330","Kade","Chandler","MEL","FWD",64.29,310.889,405
267,"1013268","Alex","Davies","GCS","MID/FWD",58.11,311.304,406
606,"998134","Josh","Battle","STK","DEF",63.86,311.522,407
775,"996554","Jake","Waterman","WCE","FWD",64.64,312.292,408
741,"1013511","Tyler","Brockman","WCE","FWD",54.6,312.667,409
