"feed_id","player_id","first_name","last_name","team_abbrev","pos_1","pos_2","round","projected_points","points","avg","avg3","avg5","price","user_team_id","team","coach","picked","type","position"
1000998,28,"Lachlan","Murphy","ADE","FWD",,19,,69,54.6364,53.3333,47.8,246100,,,,,,
297456,281,"Nick","Holman","GCS","FWD",,19,,,65.125,81.6667,73.8,352500,,,,,,
290188,679,"Sam","Reid","SYD","FWD",,19,,74,88,88.6667,94.2,453600,23345,"Pink Lloyd","Jordan",TRUE,"scoring","FWD"
1006143,629,"Max","King","STK","FWD",,19,,124,61.7059,85.6667,73.8,333200,,,,,,
994077,572,"Mabior","Chol","RIC","RUC","FWD",19,,42,73.75,68.6667,73.4,370500,23413,"The West Wingard","Simon",TRUE,"scoring","FWD"
997100,660,"Will","Hayward","SYD","FWD",,19,,57,63.6429,71.6667,64.6,322300,,,,,,
1000937,326,"Jack","Henry","GEE","DEF",,19,,90,79.9412,76,72.8,377300,,,,,,
996743,671,"Lewis","Melican","SYD","DEF",,19,,,61,61,61,320100,,,,,,
996232,185,"Matt","Guelfi","ESS","DEF",,19,,,54.8571,72.6667,57.8,292200,,,,,,
291819,476,"Adam","Tomlinson","MEL","DEF","MID",19,,,56.2857,49.3333,48.8,290300,,,,,,
290797,707,"Alex","Keath","WBD","DEF",,19,,10,74.5556,50.3333,58.4,331200,,,,,,
996554,767,"Jake","Waterman","WCE","FWD",,19,,81,56.5833,64.6667,66,303800,,,,,,
294828,330,"Josh","Jenkins","GEE","RUC","FWD",19,,,43,43,43,323400,,,,,,
1005247,392,"Sam","Taylor","GWS","DEF",,19,,111,84.1538,95,83,429800,23345,"Pink Lloyd","Jordan",TRUE,"scoring","DEF"
291533,462,"Tom","McDonald","MEL","FWD",,19,,82,89.6667,90.3333,88.2,456800,20323,"La MacRaena","Anthony",TRUE,"scoring","FWD"
294469,522,"Aliir","Aliir","PTA","DEF",,19,,52,84.8333,64,65.6,385300,22859,"Ariana Grundy","Lester",FALSE,"nonscoring","DEF"
1009253,353,"Lachie","Ash","GWS","DEF",,19,,85,80,57,67.4,347800,,,,,,
260113,619,"Jarryn","Geary","STK","DEF",,19,,,55.3333,55.3333,55.3333,309400,,,,,,
990816,183,"Aaron","Francis","ESS","DEF",,19,,,58.3,44.3333,44,282100,,,,,,
